rank,gid,role,priority_score,why
38,100000004759121100,consolidator,0.9286002072,"Оборот вход+выход 1022000.00 KZT; соседей 7; достижим от 7 seed; сила роли 0.773. Приоритет проверки, не вероятность нарушения."
39,100000003701161100,coordinator,0.9284712876,"Оборот вход+выход 1876103.00 KZT; соседей 5; достижим от 7 seed; сила роли 0.744. Приоритет проверки, не вероятность нарушения."
40,100000008413748100,distributor,0.9258904250,"Оборот вход+выход 1403800.22 KZT; соседей 20; достижим от 7 seed; сила роли 0.843. Приоритет проверки, не вероятность нарушения."
41,100000008304139100,distributor,0.9250591038,"Оборот вход+выход 1882326.75 KZT; соседей 27; достижим от 7 seed; сила роли 0.917. Приоритет проверки, не вероятность нарушения."
42,100000002175422100,coordinator,0.9249831763,"Оборот вход+выход 1689688.00 KZT; соседей 6; достижим от 7 seed; сила роли 0.734. Приоритет проверки, не вероятность нарушения."
43,100000003854444100,distributor,0.9249357120,"Оборот вход+выход 2532909.00 KZT; соседей 15; достижим от 7 seed; сила роли 0.745. Приоритет проверки, не вероятность нарушения."
44,100000002547110100,consolidator,0.9249024851,"Оборот вход+выход 1500000.00 KZT; соседей 6; достижим от 8 seed; сила роли 0.804. Приоритет проверки, не вероятность нарушения."
45,100000004962193100,consolidator,0.9242471746,"Оборот вход+выход 900468.00 KZT; соседей 8; достижим от 7 seed; сила роли 0.797. Приоритет проверки, не вероятность нарушения."
46,100000004486525100,consolidator,0.9230966898,"Оборот вход+выход 631969.00 KZT; соседей 10; достижим от 7 seed; сила роли 0.814. Приоритет проверки, не вероятность нарушения."
47,100000008637537100,coordinator,0.9195995962,"Оборот вход+выход 2971385.00 KZT; соседей 4; достижим от 10 seed; сила роли 0.733. Приоритет проверки, не вероятность нарушения."
48,100000003635170100,transit,0.9149408132,"Оборот вход+выход 522000.00 KZT; соседей 5; достижим от 8 seed; сила роли 0.860. Приоритет проверки, не вероятность нарушения."
49,100000003880331100,distributor,0.9142267738,"Оборот вход+выход 4004908.00 KZT; соседей 16; достижим от 7 seed; сила роли 0.847. Приоритет проверки, не вероятность нарушения."
50,100000007594394100,consolidator,0.9141244644,"Оборот вход+выход 3771697.00 KZT; соседей 6; достижим от 9 seed; сила роли 0.755. Приоритет проверки, не вероятность нарушения."
